City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,vila,75,IT,1525755300,82,45.18,8.4,59.0,1.12
1,kirakira,64,SB,1525758372,100,-10.46,161.92,81.92,14.79
2,rikitea,80,PF,1525758372,100,-23.12,-134.97,78.05,18.81
3,atuona,92,PF,1525758372,100,-9.8,-139.03,81.02,17.25
4,kavieng,48,PG,1525758372,100,-2.57,150.8,82.91,8.19
5,touros,68,BR,1525758372,96,-5.2,-35.46,76.43,11.88
6,ushuaia,68,AR,1525758372,89,-54.81,-68.31,47.9,20.04
7,yellowknife,90,CA,1525755600,65,62.45,-114.38,41.0,13.87
8,nelson bay,0,AU,1525755600,56,-32.72,152.14,71.6,5.82
9,hilo,90,US,1525755360,88,19.71,-155.08,73.4,11.41
10,chino valley,1,US,1525757700,13,34.76,-112.45,71.6,4.7
11,albany,1,US,1525755240,50,42.65,-73.75,51.8,5.82
12,new norfolk,40,AU,1525755600,38,-42.78,147.06,59.0,13.87
13,kapaa,90,US,1525756800,69,22.08,-159.32,73.4,16.11
14,castro,0,CL,1525758373,94,-42.48,-73.76,38.63,3.04
15,vestmannaeyjar,80,IS,1525758374,97,63.44,-20.27,43.67,20.04
16,oriximina,92,BR,1525758374,100,-1.77,-55.87,74.9,4.38
17,villa del rosario,75,CO,1525755600,100,7.83,-72.47,75.2,6.93
18,punta arenas,75,CL,1525755600,66,-53.16,-70.91,53.6,26.4
19,mangrol,0,IN,1525758374,26,25.33,76.51,97.67,6.62
20,alofi,0,NU,1525755600,73,-19.06,-169.92,75.2,11.41
21,jamestown,0,AU,1525758077,37,-33.21,138.6,67.34,3.71
22,geraldton,40,CA,1525755600,54,49.72,-86.95,53.6,3.36
23,cidreira,0,BR,1525758375,81,-30.17,-50.22,66.8,11.65
24,sergeyevka,88,KZ,1525758375,82,53.88,67.42,48.35,8.86
25,terrace,20,CA,1525755600,71,54.52,-128.61,57.2,8.05
26,ostrovnoy,44,RU,1525758375,100,68.05,39.51,34.31,4.61
27,tual,56,ID,1525758375,100,-5.67,132.75,82.37,10.54
28,cayenne,20,GF,1525757400,88,4.94,-52.33,77.0,2.24
29,pekan,75,MY,1525755600,67,3.49,103.39,93.2,11.41
30,torbay,75,CA,1525755600,86,47.66,-52.73,33.8,5.82
31,pisco,0,PE,1525755600,93,-13.71,-76.2,64.4,8.05
32,lebu,0,ET,1525758376,54,8.96,38.73,66.53,3.15
33,fairbanks,1,US,1525755480,39,64.84,-147.72,48.2,8.05
34,atasu,48,KZ,1525758376,67,48.68,71.64,56.0,12.66
35,brive-la-gaillarde,90,FR,1525755600,100,45.16,1.53,53.6,2.24
36,ponta do sol,0,BR,1525758376,85,-20.63,-46.0,58.97,6.62
37,tasiilaq,0,GL,1525755000,57,65.61,-37.64,21.2,3.36
38,hambantota,8,LK,1525758377,93,6.12,81.12,86.51,10.54
39,guerrero negro,0,MX,1525758377,99,27.97,-114.04,58.61,8.75
40,tura,8,IN,1525758377,87,25.52,90.21,80.57,5.39
41,mataura,0,NZ,1525758377,63,-46.19,168.86,51.68,25.64
42,ketchikan,20,US,1525755180,87,55.34,-131.65,50.0,6.93
43,qaanaaq,68,GL,1525758377,90,77.48,-69.36,5.33,4.83
44,jinji,92,CN,1525758378,91,22.16,112.49,76.7,4.5
45,port hardy,20,CA,1525755600,93,50.7,-127.42,50.0,8.05
46,saint-philippe,1,CA,1525756500,52,45.36,-73.48,48.2,4.7
